21.0,-94.24,-997.56,-2.28,0.33,-0.65,-53.1,89.7,-63.9
20.02,-111.82,-996.09,0.25,2.07,-0.3,-51.0,88.65,-63.9
29.79,-90.82,-997.07,1.63,-1.94,2.27,-52.05,89.7,-65.25
10.74,-107.91,-1008.79,1.5,1.2,1.29,-51.15,88.05,-65.1
19.53,-89.84,-1010.25,0.82,-0.53,0.76,-52.2,90.0,-63.75
10.25,-101.07,-998.05,-1.08,-1.7,-2.78,-52.95,88.05,-63.75
14.16,-84.47,-1009.28,-0.27,2.66,-1.46,-51.45,88.5,-64.8
26.37,-103.03,-985.84,-0.45,0.56,-1.69,-51.45,88.5,-64.05
272.46,8.3,-1098.63,8.87,-0.47,-25.66,-52.05,88.95,-65.7
-19.04,-284.67,-1188.96,3.21,5.73,57.87,-52.65,89.25,-64.35
-11.23,76.66,-1387.7,49.6,81.5,80.98,-52.35,88.65,-65.25
396.97,163.09,-1380.37,35.6,63.8,50.18,-60.9,84.75,-64.05
479.49,-608.4,-849.61,103.17,19.92,9.45,-70.8,75.0,-61.95
81.54,-384.77,-712.4,183.92,-96.34,-36.91,-64.8,67.65,-61.8
21.48,-770.51,-261.72,246.1,-106.24,-46.98,-56.85,52.95,-60.6
70.31,-842.77,-59.57,234.76,-88.83,-90.69,-51.9,37.05,-49.05
216.31,-902.34,-0.98,98.16,-68.22,-101.54,-53.7,28.8,-39.9
362.3,-1124.51,-89.36,-20.35,-58.93,-83.78,-56.55,27.75,-34.5
251.95,-1251.95,-91.31,-133.84,-25.18,-43.13,-57.3,32.25,-38.4
419.43,-1048.34,-379.88,-192.02,-24.7,-15.55,-58.05,43.05,-48.45
373.05,-736.82,-656.25,-106.87,-45.46,5.57,-54.45,50.25,-52.65
344.24,-652.83,-777.34,-96.15,-64.96,0.42,-49.65,59.25,-52.95
242.68,-462.89,-821.78,-85.59,-67.98,17.17,-45.3,62.55,-53.7
112.79,-380.86,-867.68,-125.25,-52.24,17.28,-40.8,72.45,-51.0
81.54,37.11,-925.78,-96.83,-48.54,23.6,-39.15,80.55,-46.95
-48.83,59.08,-960.94,-103.24,-37.36,18.76,-37.95,88.2,-42.45
-135.25,340.82,-815.43,-33.42,-38.75,32.08,-36.45,91.95,-38.55
-183.11,329.59,-847.17,-66.64,-29.98,41.93,-34.95,96.9,-34.95
-125.49,415.04,-810.55,-90.41,-24.77,59.76,-36.45,102.45,-28.95
-96.19,536.13,-670.41,-105.21,-44.31,73.4,-41.85,106.95,-20.7
104.0,882.32,-464.84,-96.48,-43.36,62.3,-45.75,111.0,-12.45
110.84,823.24,-381.84,-68.4,-40.75,66.9,-50.25,111.45,-6.9
132.81,901.86,-298.83,-23.56,-37.95,59.26,-55.2,113.25,-1.65
352.05,954.1,-279.79,-7.65,-36.4,74.91,-60.9,113.55,-0.6
227.54,979.98,-238.77,-18.11,-22.15,74.68,-66.15,111.9,0.15
328.13,943.36,-250.49,2.65,-38.53,73.5,-72.9,111.3,2.4
428.22,877.93,-326.17,7.63,-28.64,57.02,-78.75,108.75,-0.6
415.04,846.19,-427.25,10.82,-30.7,46.04,-85.65,106.8,-2.85
727.54,960.45,-572.75,66.17,-59.71,37.34,-89.7,104.55,-6.3
592.77,972.66,-638.67,130.74,-76.11,22.91,-90.45,100.8,-15.3
384.77,750.49,-759.28,147.95,-92.97,-14.84,-89.25,98.25,-28.8
415.04,545.9,-936.04,136.83,-91.27,-17.92,-82.8,95.55,-38.1
231.93,273.93,-985.35,130.08,-102.82,-16.64,-75.9,88.8,-47.7
-22.95,-120.12,-945.8,150.78,-105.75,-28.85,-68.55,80.25,-53.4
-86.43,-387.21,-833.01,146.55,-114.08,-17.44,-59.7,70.2,-55.65
-283.2,-577.15,-588.87,156.79,-117.2,-13.25,-51.0,58.95,-54.6
-373.54,-812.5,-334.47,168.23,-126.85,-4.92,-43.65,48.9,-49.2
-410.64,-832.03,-60.55,148.06,-110.16,-21.27,-37.65,43.05,-43.8
-381.84,-714.36,222.17,140.44,-121.94,8.92,-35.1,37.5,-31.35
-234.38,-661.13,457.52,117.74,-128.63,-6.49,-34.5,36.3,-21.0
-194.34,-613.28,665.04,77.37,-120.13,-12.27,-33.0,35.25,-9.15
-84.47,-468.26,714.36,82.03,-107.13,-4.72,-36.75,36.45,0.75
80.57,-479.49,907.71,62.21,-105.62,-15.19,-41.4,37.5,9.15
296.88,-494.14,867.68,19.66,-96.5,-3.51,-44.85,39.15,15.0
431.64,-505.86,925.78,-34.43,-100.21,7.49,-48.6,39.0,15.6
583.98,-850.1,813.48,-98.22,-85.19,15.21,-53.1,34.65,13.95
600.1,-1122.07,723.63,-170.15,-60.32,-2.65,-57.0,31.8,6.75
636.23,-1011.72,383.79,-143.83,-50.76,25.49,-57.75,27.3,-7.05
570.31,-934.57,43.46,-250.14,-44.53,-44.6,-55.5,25.8,-17.7
494.63,-893.07,-158.2,-101.15,-19.08,33.81,-53.4,28.05,-28.05
459.47,-664.55,-355.47,-104.26,-17.72,48.3,-50.1,31.8,-33.75
343.26,-676.27,-474.61,-88.02,-6.26,37.08,-48.3,36.3,-38.1
307.62,-782.71,-615.23,-106.66,3.47,28.2,-46.2,39.45,-43.5
253.91,-740.23,-797.85,-76.08,-4.24,42.7,-45.45,44.7,-45.0
254.88,-499.51,-857.42,-69.51,-15.61,39.89,-43.65,51.45,-48.15
195.31,-495.12,-900.39,-74.02,-20.63,35.96,-40.65,54.75,-49.5
159.18,-333.01,-952.64,-81.31,-25.6,39.14,-40.65,62.55,-50.55
167.97,-129.88,-972.17,-103.28,-32.96,46.01,-38.55,68.7,-49.65
40.53,7.81,-967.77,-100.43,-31.73,43.82,-36.6,79.05,-46.95
-23.44,117.19,-935.06,-104.02,-32.12,31.19,-36.45,84.45,-42.9
-44.92,165.04,-881.84,-113.53,-30.3,39.08,-35.55,89.55,-40.5
-94.73,369.63,-800.29,-125.56,-44.98,49.32,-37.95,97.2,-31.8
16.6,709.96,-626.95,-146.2,-36.25,31.57,-39.3,102.15,-25.05
-21.48,753.42,-467.29,-96.08,-46.71,29.9,-39.15,103.8,-17.1
-27.83,802.73,-347.66,-97.01,-40.5,34.42,-40.95,106.05,-10.2
124.02,771.97,-233.89,-93.44,-60.81,54.49,-42.9,104.7,-1.95
138.18,837.89,-24.9,-100.09,-45.4,59.98,-47.7,104.4,3.0
228.52,907.23,110.35,-88.02,-44.58,62.55,-52.2,103.5,10.65
336.91,1043.46,196.78,-67.69,-26.11,56.21,-58.65,103.2,16.5
425.78,823.24,264.65,-66.1,-22.58,30.19,-64.05,101.4,20.4
573.73,755.86,308.59,-57.61,-31.06,29.96,-69.15,97.65,22.95
502.93,933.59,396.48,-44.39,-38.66,41.49,-75.45,92.25,26.7
697.27,753.91,288.09,-22.85,-48.47,24.0,-81.0,88.8,25.65
986.82,754.39,294.92,32.54,-83.95,6.21,-87.45,88.05,21.6
926.27,828.61,160.16,12.34,-73.83,27.83,-93.15,86.7,16.2
859.86,996.58,100.1,20.42,-59.37,18.27,-96.15,87.3,12.0
899.41,951.66,-31.74,68.79,-86.01,0.55,-98.55,88.95,4.8
687.5,769.53,-231.93,97.28,-75.02,-20.07,-98.85,91.2,-4.8
728.03,767.58,-415.53,109.95,-66.69,-28.71,-97.95,94.05,-12.75
657.71,646.0,-574.71,99.34,-60.05,-50.19,-95.85,96.3,-21.6
442.87,495.61,-762.7,110.89,-64.63,-50.02,-88.5,96.3,-29.55
257.32,525.88,-875.0,105.11,-69.82,-41.47,-84.0,93.15,-40.35
10.25,182.13,-914.55,113.7,-63.89,-56.89,-79.05,89.55,-46.2
100.59,-249.51,-983.4,108.63,-63.87,-56.68,-72.45,84.9,-51.45
-10.74,-300.78,-968.26,78.62,-63.31,-42.94,-65.25,78.0,-55.2
-234.86,-280.27,-846.19,86.24,-71.48,-34.4,-60.0,70.95,-57.75
-360.35,-443.85,-698.24,95.06,-81.03,-25.75,-52.2,64.05,-56.55
-393.07,-725.1,-562.5,86.82,-81.98,-28.6,-49.2,58.95,-54.3
-391.6,-759.28,-415.53,81.5,-89.83,-12.99,-43.95,52.8,-48.75
